	80828
supporters	86771
Brenneke	61615
far fewer people	105576
Palatnik	76896
online Friday	153947
Salafist mosque	120365
February 2014	161100
other crisis-hit Europeans	114871
antianxiety medication	118956
Call Me	48210
Domino s Pizza Inc.	73085
rail port other infrastructure	128509
Canpotex Ltd.	17374
phone calls	101969
2.22 billion	107087
final contract	97601
Louis C.K.	38296
replacement parts	88701
Appaloosa	26953
Nextel	6858
ReputationGuard	32729
final calendar quarter	101658
2.67	117229
2.64	103476
WeddingChannel	40412
2.62	132103
Dongfeng Motor Group Co.	6986
detailed analysis	82276
Klinsmann	45666
PUER	23940
four deaths	144473
labor practices	127768
five consecutive three-	151820
Post Cereal	52941
ballistic missile technology	130255
Barrio G	44062
32 million profit	130643
solo interventions	119652
solar cell maker Topcell Solar International Co.	102422
5.7 billion bid	108271
one-year research agreement	114499
give	154283
Chellomedia	58717
home wireless network	141689
April-December period	143282
military crackdown	107971
open-ended commitment	119987
dealer network	98297
20th century.	115151
40.4 million	84408
overall rise	143301
Humphries	25297
theoretical research	120515
endless stream	89947
major retail stores	138062
other famous hang ups	92937
Uncle Sam	5595
Wi Fi router	157743
Clean Energy Fuels Corp.	29935
Big Night	31499
WM Company	47332
specially company	94517
Chile Latin American	54305
Panache	76168
polio	102471
former NDP politicians	106722
Phoenix	2948
smaller growth	153152
Swiss Federal Council	26336
Tesla Motors Inc. GM	154106
Karantina	32192
Pingus	76349
Competition Authority	14117
primary insurance coverage	85858
World of Legalese	30350
Jack	7979
Three-time Tour de France	13375
first new brand	136000
improper accounting methods	101325
U.K	6399
way music	123791
U.N	3801
PT Danareksa Sekuritas	30840
Marcel Duchamp surrealism	154035
Sodastream	141213
gold demand	159443
replacement knees hips	134609
StarCraft II	67391
Forstall	48362
total budget deficit	106577
action games	159797
Hurricane Ivan	135911
Ovadias	65427
economic stimulus package	79777
DALLAS The	56799
first such gain	108508
other three titles	162039
4,222 Internet	56357
Summer in the City	20092
dividend payout	94867
Financial Finesse	64241
Mercedes-Benz G Class	161793
Knicks financial ability	160035
Madoff	8479
main agribusiness sector	151404
most expensive home	136210
Myelin	5805
last name	110260
U.S.A.	3077
regional jetliners	94444
unexpectedly cold winter	148572
ferocious energy	156677
credit histories	94188
mobile technology semiconductors	112486
political instability	136827
breakaway state	162730
Common Cause President Bob Edgar	103814
Blyleven	12089
unexpected contraction	140996
headline rates	144738
Windex	46834
Saab s Gripen NG	75201
25 % jump	115897
various old new databases programs	102034
all-cash transaction	93005
mortgage income	134347
Central Asia test	158885
Johor area	123636
MGM Dubai World	96855
UNHRC	52785
David Lerner Associates	25701
Ooooh	63403
enshrinement	128133
Five Nations	65155
23 % bump	123425
Bigelow Snub	52219
two protestors	113892
Nation	13168
2.8 billion	78477
4 million joint Spanish-language ad campaign	127059
1970s 1980s	119511
Lion King	24681
Texas Giant	36194
additional workers	146728
FDI flows	121586
internal review	138202
biathlon team	142260
Ally J.P.	126310
The House of Atreus	47284
38.9 billion	127577
stopover	92938
Hanesbrands Inc.	26293
Tax Foundation	4009
small forward	136329
almonds	165876
Michael Shnayerson	77742
other functions	100006
Begg	21062
Sanex	24332
11 stores	84767
LinnCo	76199
Lennon Ono	94040
Chancellor Merkel	17602
cost increases	109986
OTTAWA Canada	22667
household names	155188
Bobby	17013
phallic lighthouse	117442
UBL-654	51999
Jason Fox	50886
CorpBanca	46288
forgiveness programs	129551
South Korean naval vessel	103630
funding woes	96251
2.40 billion rupees	124078
such accusations	132129
tight alliance	125143
leadership team	158243
previously plans	140457
water reactor	138905
Public Enemy	37350
biggest nutrition safety	159263
most productive white-collar informants	114148
Century Apollo Campaign	64819
brightness	103960
Beau Schoch	34403
retail network	101525
investigator	115105
minority holders	101852
ISI	7074
Courageous	36061
Lennay	54046
Peninsula Hotels	41552
Combat Challenge	16658
Stanford International Bank	14681
Timberland	35129
Jia - A League	45684
Lennar	12001
former third- string quarterback	153999
skittish investors	109486
20 mazes	88500
as much 3 million barrels	137488
Masayoshi	44755
first sport-utility vehicle	138958
average total loan growth	100776
New Financial	28024
The Godfather : Part II	42754
The Madam 's Song	39075
lower oil prices	156004
Woz	27693
T te de Jeune Femme	31745
Russian-born	21297
Wow	42453
sovereign rating	129778
RNAs	20378
multibillion investment program	121066
extortionists	97305
XTO Energy	8587
Southern states.	63188
U.S. manufacturing footprint	83095
209.2 million	97728
H-P desktop PC laptop netbook router	84253
Beyerskloof	52376
Nasal Carriers of Staphylococcus	8983
ISB	12147
Global Banks	75211
younger employees	155735
Can Do AC	49717
Kremchek	43789
United States government	131557
Dresser	16010
more advertisers	134542
decree	78125
much annoyance	156161
HMX	46244
MeeGo Devices	21195
photocopying	103971
purported Pollock Mr.	131949
lending facility	92141
Nuevo Latino	40406
new quarterly record	154818
Ghost Quartet	68775
ISF	18189
on-	111696
Economic growth	118372
case rulings	130926
company shares	136358
Coca-Cola Hellenic	45037
Hot Yoga	51628
slick new English-language Web magazine	98378
40 billion project	164712
future destruction	80137
Boom Mic MM800	76249
HMA	66052
HFT firms	106868
go-slow " approach	105528
pike poles	108039
bridge spans	157761
6.07	130154
Emeryville	12327
standalone emissions	85622
0.1 percentage point	121382
second-year barrels	120265
vision experience	135699
world investing	144890
global product line management	158104
U.S. development assistance	132662
shriveled	90223
Moon Chest	49231
destinations	125006
other upscale brands	128812
African resources	107362
cornerstone investment	120486
first deployment	90646
lasting loyalty	86762
2.1 % decline	81239
East Asian Community	63359
Valeant Pharmaceuticals International	12197
Congressional Review Act of 1996	27526
3.94	91242
3.95	113087
industry-leading growth	81212
Atomic State	74437
Remoxy	68660
47.6 million tons	88991
The Big Picture	70363
Umayyad	11471
many functions	94738
isn	85311
Shiller Index	13631
market vehicles	154944
ReMap KM	47434
22 % advance	131437
few flourishes	104764
smaller government	107908
warm feelings	126997
business advantage	121670
Foner	21354
Container Store	27170
Serbs	13471
last year rules	164733
dark cold water	131700
FICO credit scores	148459
321 million	83859
Zhou Xiaochuan	1589
Sovereign	30828
East Side	8388
hook	84658
Ambarella	44433
Space Exploration Technologies Corp.	7052
650 million 680 million	144972
Serbo	48626
hoof	147981
hood	135455
DoubleDutch Inc.	38506
charitable causes	160958
income assets	78781
Outside Woman Blues	13626
ECC	16401
ECB	608
2011 per-share earnings	89240
Jesse Jackson Jr.	19742
Firebird X	38163
two-year five-year bonds	124329
Garmin International Inc.	60210
ECI	69573
July 1	103151
federal budget	92547
strategically special economic zone	124826
38-year-old	124457
Sina Corp.	2994
other weight-loss procedures	136705
very new composers	142929
new Triaminic Fever Reducer Pain Reliever	96342
fund "	102515
inferno	133683
supply glut	108663
vaccine hesitancy	160135
inflow	119550
Burning Glass	66213
criminal defense	149533
" small number "	135904
nearly quarter	89082
Sunni Iraqi	33759
third edition	124751
entire trajectory	89776
Bluefin Labs	53034
political summit	120081
power reserve gauge	130848
Guinean law	83290
more 16 billion	156787
Chicago Sun-Times	17294
American War.	25256
PPR SA	16129
Euro-Atlantic	14421
ribbon bracelets	98405
Spread Hate	43315
stores closures	161944
Beuysian	69385
unlikely class warrior	135219
Carige	68643
Lady Roll Tide	55359
Nexus One phone	84638
upholstery	162049
German Formula One race	145542
Camille Biros	72678
megastars	114210
control technology	81151
matter	78110
French Embassy	20316
Kloppers	22590
U.S.-based Bare Escentuals	4779
deeper waters	82362
Peter Thiel	8144
Shipley Miller	3916
free educational television network	103871
Colic	62455
construction site	127699
six solar power plants	139634
Sasac	60564
Haryana	8950
other sports nutrition brands	136114
first tranche	81987
A Fan 's Notes	46668
listing application	141274
8.5 million TARP loan	107491
several additional weeks	130224
Flood	57456
Crazy Horse	32797
254 homes	135450
cash-strapped customers	115851
top energy companies	151812
Internet of Things	62353
reprieve	119322
229.3 million	102737
Geo Group Inc.	36426
ProFunds Rising U.S.	70715
572,400-square-foot shopping area	158993
Stupak bloc	14142
The Mismeasure of Woman	68364
Le Thi Hop	57550
325,000 jobs	118557
Shakespeare Our Contemporary	59508
Kilroy Was Here	27955
PointlessBlog	66540
U.S.-based TV	15284
White Grape Pomegranate	21077
Sweetest Taboo	4322
Oct. 7 News You Can Use	49249
National Environmental Public Health Tracking Network	31004
Verfassungsschutz	58674
next stress	164327
Middle American	47157
sector not	114515
peaceful independence vote	99813
Independent Filmmaker Project s Screen Forward	66908
32%.	94823
Spanish-speaking ad	114837
U.S. policy-making	111170
Ghost World.	25846
Greater Allen A.M. E.	69601
Nazi Swine	15817
Matt Bryant	4635
Events DC	53357
Goddard Space Flight Center	49883
norepinephrine	117742
YouTube and Sundance	8002
Adelie	40355
blistering air strikes	81126
submarine sightings	150099
dual revenues	93231
Indy Eleven	75400
Pentagon Federal Credit Union	53986
African Minerals ' Tonkolili	50700
newspaper subscriptions	86525
Peter Pronovost	48241
Trenton	5935
flashiest projects	124743
record tourism numbers	156594
vice chair	155522
Solsbury Hill	65686
Mountain Lion	51445
Euro Stoxx ETF	41608
AmLaw	74565
World 's Most Extraordinary Buildings	61709
Dynasty	21687
Cynthia Carroll	23652
Italian peers	143443
Red Sea	12767
Henri 2 , Paw de Deux	58342
Bunge la Wazalendo	45404
capital buffers	136156
wider limit	78071
British Radicalizaton Studies	2123
research center	78056
BEIJING Adidas AG	23886
private equity investor Hellman Friedman LLC	152290
positive earnings	132480
Eid al Adha Islamic	47629
federal land	90548
Kurdistan Regional Government	34710
Chinese e	120422
TDK Corp.	36415
Spanish-language rights	108089
Food Network 's " Ace of Cakes	9062
additional information	113399
Changjiang	10502
Srinivasan	33935
deer antlers	137978
Google more	141840
full 48 billion	84117
KB FairPrice Aadhaar stores	112298
most aggressively printer	145890
Virago	68519
Facebook CEO Mark Zuckerberg	130795
3.19 billion	89678
bard	105379
five other company employees	104445
divinity	143653
pan-European Dow Jones Stoxx 600 Index	2923
Amano	15983
Bless Your Hands	62813
June-August	21142
Epogen	9097
Harry Redknapp	11180
Shafia	43092
tapering	141119
52.7	89219
Capital Region	55301
City University	12619
Earlobes	42206
Movimiento Regeneraci n Nacional	64095
21.37 billion	137508
terrorist group	83285
flames	142993
Pawn Stars	9065
Heyer	35511
transitional period	142912
pharmacy benefit manager	129331
two most recent quarterly earnings reports	78865
stop	101160
bonds issues	90567
Lifebuoy	71817
Matt Read	41250
Boozehound	20057
espresso latte drinks	127496
Burgundy producers	126722
new PCs mobile devices	157878
Mercury Prize	77309
targeted deals	118841
integration company	103928
modular smartphone	154520
Gloucester	3060
EUR4.5 billion target range	120747
new investigations	104209
current year	95858
8.7 billion loss	92153
education tax plans	156588
Dollar General Corp.	11325
own plans	79083
Melar	18320
10 billion Swedish kronor	161835
" long bumpy road "	90139
key legislation	155819
Minnesota Life Insurance Co.	23245
5.02 million vehicles	117186
Combattimento	46369
Judge Rakoff	41067
" Libra Officials	135174
1,000 cars	105850
flat colors	116159
theatrical shopping experience	112747
celebrity factor	108681
fertility	144247
compatibility issues	163882
political recognition	132561
Dow ETF	63268
EZcorp	69697
National Government	53422
PowerMeter	62432
jute cotton bags	140383
reference	89764
150,000 records	143295
Essendine	8183
Roark	44548
several consulting firms	86498
Arougheti	33607
7%.	103247
Vedanta	13070
Going Rogue	89934
South African domestic T20 competition	151090
'Le ss Kind	133998
Harvard University	2343
Ahmed Abu Khattalah	45843
TaxiForSure	72876
Incyte	38714
more 160 million	99285
similar " sole proponent agreement	142274
De Maeseneire	41932
collateral backing notes	107368
hand gestures	158158
Google s competing Play	73524
influential pro-democracy tabloid	152855
Meccan	73679
XMRV tests	97657
330,000 new claims	134592
giant corporations	104831
American Tower	16054
The Brood	39126
one intense disappointment	116481
operational results	146354
Poor 's.	131960
Zoom portable recorder	156036
Meadowmerean	58164
rights defense movement	142861
more 11,000 rockets mortars	98674
timeframe	92345
Cricket World Cup	73478
Eurofighter	38709
Satirist	64102
DC Comics	34887
swearing-in	130177
Endangered Languages	20867
management focus	122192
Left-wing	20622
full 40%.	115745
282,000 287,000	157274
Tesla Motors Inc. Model S	58385
GreatFireorg	67841
policy-setting group	116854
60 70 applications	129512
steepest quarterly decline	159423
American Jew	10189
sexual assault	147122
multiple smartphones	131311
modeling	117434
outside assistants	85636
reliable growth engine	149246
1.5 billion francs	139791
significant challenges	155652
strategic defense security review	88463
distinctive stone axes	103111
109-seat Andalusian parliament	165603
British High Court	9476
breakup fee	160097
Yang Jinsong	64691
Burtless	6733
Occupy movement	131009
Verizon Wireless AT&T Inc.	137238
Natrol	70364
Champions Tour	75835
distinction	86085
5.66 billion rupees	90556
Advantage	143704
56 % rise	140405
History of Collecting	55701
Dotel	35304
case studies	121451
500-stock index	93976
Sharma	1502
financial projections	163040
U.S. marketplaces	164259
already huge monetary stimulus	151665
Tremont section	104685
Transparency Market Research	73819
Xgeva	24599
Gristedes	47945
2012 marketing expenditures	131875
Januarys	75175
annual total returns	141714
U.S.-funded	17810
possible changes	99139
Hong Kong-based Cathay Pacific Airways Ltd.	53957
Borders	6065
Infectious Diseases	4745
Wentworth	25832
Cardinal Health	24463
Knicks reporter	158244
Exxon Mobil	92
Gulenists	63467
inconvenience	146147
pairing Ziggo	136240
118 billion	106497
additional investment	116297
Coen	74216
cocktail bar 41 Experience	143053
cable satellite operators	118516
November 2011 ballot	97418
antidumping tariffs	94490
Trileptal	9183
Fiddlers Creek	42273
Elissandro Spohr	54352
oversupply concerns	151852
8.8 billion Minas	139136
First Four	77127
American Movie Marriage	54083
second consecutive year	106338
most cost-efficient minimally invasive approach	152369
American College	33580
Robert Dye	62906
January-	38434
SemGroup	35140
Marines	1383
Mariner	23426
Object of Devotion	39965
record low	90717
Judas Priest	69521
Evolve Cytomax	136115
Chewbacca Scale	67604
almost three years.	117818
non-U.S. citizens	142549
intermodal traffic	133815
average vacancy rate	119058
new Sync features	85073
early 2009	98679
early 2008	100299
new leadership	99774
Sellars	33867
early 2003	94133
2011 operating earnings	103271
domestically abroad	149555
Persian	3203
Straight Man	8452
Americans foreigners	165327
Enel	16127
fox	149454
CFIUS	14086
Geography Statistics	124574
100-year bond	87893
CBS Network	65768
Alfani	50340
freefall	130659
1927 cash	151874
House Beautiful	24096
Gustaff Polica	71513
Dante	21999
foreign spy agency	151097
extensive interviews	120983
350,000 400,000 barrels	138511
Nissan Versa	16066
Crunchy Taco Supreme	8038
Vanguard High-Yield Corporate	22372
18-month tenure	135934
Last	116045
Kashkari	27510
Boao Forum	58001
American Airlines parent AMR Corp.	136266
two-week bills	101977
further alienation	164509
1.39	102461
annual decline	132606
bottles	94178
economic growth outlook	83975
Paolo Scaroni	3428
Egg Collective ( Hawley Side Table	47552
Contemporary Concepts	42563
Airbus Americas	65740
Big is Beautiful	60966
Xavier High School	25609
Oct. 17 News of the Tautological High-	67416
fifth generation iPhone	110232
large parliamentary majority	140872
Let My People Go	57057
Jakarta Monorail	136993
drawn-out sale process	99646
The Torn Curtain	13407
Downtown Pets	49021
Bolden	7058
The Miracle	61477
Sacred Hunger	22994
DAX-30	21827
Evangelical Man	59761
Circular Knit Lab	54679
131,072 vehicles	109721
top coats	116151
i3	140529
public warning	112025
offshore yuan liquidity	115632
All A	13695
lonesome	123017
Silver Anniversary	19551
Amplifications The Falcons	43794
Hebraic	62549
strongest full-year sales performance	141216
Rayovac	49434
Tuapse Trough	30133
Craftsmen	2891
Hamas targets	126544
Amir Malin	1060
Wild Flavors	66638
curriculums	118123
Little Caesars Pizza	21114
388 Bridge St.	63578
2014 2016 2020	89247
Apple Ten	46860
Kaimi	21120
2010 results	91235
tax system	129618
practices	85360
Pan s Labyrinth	70356
Dialogues in Gold	30262
compulsory unionism	130766
transparency initiative	122252
off-site	112113
customer funds	112572
lower class Iranians	90018
123 net closures	144204
500,000 barrels	86352
Dantesque	41799
upcoming years	124265
JAKARTA Indonesia	16093
YMA FSF Geoffrey Beene National Scholarship Awards	51655
123.2 million	156509
European Pressphoto Agency 'P	32985
Sharegate	44009
230.4 million	90480
public servants	162322
ISO 9000	23625
natural resource investments	114712
Private Bank	20249
Middle Englanders	31789
facts	96663
345,000 barrels	160779
Suryavanshi	70626
Shenzhen	1258
Movie Influences Museum of the Moving Image 36-01 35th Ave.	76786
defunct lender	164865
1.1 million customers	102614
hotel portfolio	159493
arrest chanting Release	147830
Endangered Warty Pig Ate Its Entire Family	76370
Energy Take Classic	58138
Let Me In.	16515
FDA insider trading probe	107282
Google products	101769
The Rock Band	6018
first municipal identification cards	154164
Lisa Jackson	12813
justices	82690
simply percentage	96586
least 11.40	88090
Armoury	50606
Latin America	403
aid loans	134329
Montgolfiers	58496
IBMSmartCamp	24496
Bath Book	64893
Sports Licensed Division	14486
Japanese dashi broth	129362
Sublimely Self- Righteous	17050
U.S. benchmark	154316
Bombardier Inc.	3397
inner resources	112380
valiant case	163297
Titanyen	5782
online banner	125862
Golden Rice	45875
Young Des	48974
Thanksgiving Day	11331
DSL Internet service	163521
domestic terrorism	99878
new combination	133697
biggest initial public offerings	105156
first deep-water rig pipe	139784
hogs	138032
states.	88544
American Democrats	18008
Gebre Gebremariam	22608
287.7 million	144511
Raspberry ketones	123509
Qube	39842
Microsoft s Azure	76049
relatively minor offense	102902
stents catheters	165683
1.1 million vehicles	149688
newly offer	99146
real consumer spending	157560
economic espionage Treasury Secretary Timothy Geithner	112354
www	89874
Sexual Roles of Butterfly Species Drives Mutual Sexual Ornamentation	27664
Haramain	40754
Citi / LinkedIn	66355
English-language Penguin Classics	25579
...If	31756
scrimmage	148377
online exchange	141737
disc trauma	116168
invoice	138038
customized system	141602
Nook Tablet	38199
4.5 million borrowers	119030
lower rate	86158
Muslim Reformation	73409
strongest gains	92810
TauRx	49662
Fantasia Holdings Group Co.	64544
wider audience lower room rates	147552
annual economic growth	90275
Danish Embassy	73511
Asset Quality Review	59116
such goods	90360
Both Sides of the Brain	75216
In Superman	47158
WBHL concept	148888
Felix Investments LLC	27387
St Martin s Press	70824
eastern province	106891
Crisco	61741
Suzanna Dana	15006
JustSystems	49944
One difficulty	145846
battle strategy	141266
Apollo Management	9301
Toys " R ' Us	48739
Bassa	22745
4 % gains	130149
12 nations	146037
Bellino	63822
Swedes	4442
first iPad	110929
own agreements	138532
Sweden	320
dozen small banks	149752
other local officials	114216
20 % polyester	145077
stock exchange	82483
Hard Hat	34370
rare mineral	99751
Other Woman	49580
investment pledges	128944
tracking command system	112947
Galvus	17740
proposed measures	132124
long-term debate	94561
better earnings	119691
7.6 % target	92971
American Airlines AAdvantage	8556
Galaxy Mini and Galaxy Y	45970
An Ecological Kristallnacht	64454
fa ade	161732
904 million	107703
Die Donnergotter	15541
chronic psychological difficulties	159875
Dividing Line	54175
level market	82867
3,099 refrigerators	154438
least 100 passengers	82152
new advance	150163
confidential financial information	107234
Avant Garde	13447
sweater	138428
gorgeous high-quality hairbrush non- industry types	97229
80 % decline	102768
pharmacy business gains	133185
Smirnoff	20653
87.3 million	164479
Daiichi Sankyo	6151
Cinema Tropical	17650
Chrysler 300	17606
hallmark	134212
income taxes	124376
10 million barrels	125904
Decanter light	165472
potential savings	159215
Cosmetics	54250
Senate ratification	96728
Stock Exchange	18804
Shujaiyeh	66351
L Mobile	25794
1.7 million net loss	145301
video site	125318
Behind-the-scenes	17951
anti- India sentiment	107847
78 calories	142180
movie executive Sol Wurtzel	109544
VeriFone	38384
KB Financial Group Inc.	80
Sesame Street YouTube Channel Hacked , Programming Replaced With Porn	33899
CERTA	6348
new stakes	95965
almost 1 %	153863
Both men	158291
CouchSurfing	46761
SHANGHAI	546
41 appearances	165981
Raymond Kelly	14267
Winslow Homer	8990
Street BG	76447
farmers planters	150346
Health Care Service Corp.	63352
peak holiday season.	110740
Japanese yen	129955
Cantona	51722
Al Karaana	71418
Izzi Remix	73920
Finnegan 's Wake	21290
Tehran Bureau	67196
My No. 1	38558
Visa Checkout service	159854
Columbine	26704
Wotif	67535
strongest quarterly profit growth	141096
educators	99080
ordinary moms	158929
Bob Evans food unit	141786
Ashes & Rain	37481
eight other firms	164261
Cambodians	16368
DayGlo	77785
284.6 million	103283
Peter Wallison	3254
Bauer	6094
Israeli Saudi embassies	106333
first five	109618
Java Sea	66712
Urban Cheesecraft cheese	115370
Irish commercial property loans	132979
2.77 million bags	159141
jury audience prizes	146504
free listening	161881
100 million credit agreement	116351
Fame Fund	128135
Working Families Party	14006
handling practices	132962
bellwether	114924
Atheros	25850
North- American	59666
Category Four	17510
89,982 twenty-foot containers	161111
Pinta	60578
Russian officials	134794
Artist 's Magazine	18828
Gaithersburg	31980
Rayon	15976
Hong Kong-based Mr.	64243
Domino	8849
four such funds	133678
global settlement	150739
Even Lincoln Memorial	153403
Self-	37750
more one trillion euros	159485
bitcoins	146523
370 billion	149789
game studio	156975
domestic mobile towers	161061
company profits	139224
Busch Precision	37634
MYR123	75559
2,000 stations	107782
" Umbrella Man	124589
Conner	15225
35 infections	128240
3.97 million barrels	153304
ArticleView	24094
only modest hiring	146778
national pride	163703
Jeffersonian	9967
267 million net profit	135348
191.4 million	150793
BCG Liquidez	50052
close-up s	111120
Your Brain on Fire	55966
country record level	128781
only one main model	130082
Pigeon Pie	59592
alerts	100672
47 three-point shots	84925
India campaign	160417
LAS VEGAS	12732
investment advice	161052
registrations	129578
Pain D Avignon	74006
508.5 million	149715
Jon Lester	35816
Cross of War	49767
Kenneth Feinberg	1810
Voyager 2	46049
trading profit	108948
Voyager 1	46048
U.S. Senate	22182
advance voting	144213
political tactics	137873
11 % drop	151492
fund organic growth efforts	135256
diet	111165
Toyota Tsusho Corp.	6410
Essential Dance Film	24388
Debitel	64437
Grandpa Hates the Bird	36345
sharply lower pace	81650
Lindblad Expeditions	71779
transfers	109306
North American Free Trade Agreement	8837
original trademark	162416
28.6 billion	110257
net capital requirements	80759
Batirashvili	61524
Rioforte Investments SA	66425
cloud computing	113387
political leverage	105133
angry "	143699
Mitterrand	19329
CO2 emissions	129798
home-based businesses	129304
Wuling microvan joint venture	95029
long-term deficits	87876
78-year-old premier	97262
Operation New Dawn	69188
Canadian Natural Resources Ltd.	31747
George Mathew	30759
few problems	103288
Paperwhite	48717
third-largest gold reserves	130457
Dutch Boy paints	157384
81 %	135993
The Bloody Shirt : Terror After Appomattox	63061
trade- ins	119168
Graco Snugride 30 Platinum Edition	77787
skis	87132
separates	162610
Deutsche Bank metals energy book	149203
skit	104434
625 million	106929
YunOS	75727
25 gigawatts	85615
Tiq IQ	54375
private equity industry	82462
crude oil inventories	79604
The Mob Doctor	46601
skin	85198
Glaxo	3278
International Business	69208
CAC40	61553
seller	98285
Takebi	51142
derivatives platform	107677
" strategic implications	146035
Japanese parts makers	135241
southern European debt	112565
high orbits	165566
more normal monetary policy stance	160952
additional Christmas distribution	78542
Bengali-speaking Bangladeshis	37865
two other Ranbaxy facilities	141441
PT Berau	44761
5.2 billion 5.3 billion	125447
38 billion rupees	126369
marketing not	119276
Some Novo Nordisk	32291
most shipping accidents	163590
local beers	153517
559 million	101166
Stupendous Stitching	54676
Justice Department lawsuit	132283
endless headaches	155019
Slope Food	51619
Maersk Alabama	5754
Baremore	73847
string	83397
LHA	72032
milestone payments royalties	97843
Classics for Pleasure	12730
important facts	160319
least 150 votes	130162
70 % rise	157485
contemporary	122435
steep unexpected decline	107606
1992	101388
Roosevelt Memorial	46943
Sims Metal Management Ltd	58650
Interstate 5	39783
health-care overhaul President	92954
Hue smart bulbs	157850
1994	82411
uncomfortable mattress	113180
SilverCup	31240
Brent oil contract	110803
tax write-offs	127089
Apple Watches	74493
Zakhele	17488
517 million	122682
Innovator 's DNA	33932
Prototype Festival	63622
Allergan Inc.	15465
Health-care	67507
BERLIN	1401
Frenchman	1415
Quirimbas	55947
Vend	46018
fourth-quarter earnings growth	146522
Christmas week	142725
3.5 % decline	107698
past years.	124887
monitoring service.	155343
Empire of Evil	36908
New Age Telluride Mushroom Festival	36123
pro-Kurdish	55544
Live Nation Entertainment	9705
largest shipping company.	104099
New Journalism	46136
artistic pursuits	153090
medical records	140119
Lockheed Orion	61249
kidnappings	145124
IHOP DineEquity	68736
Lucent	6111
NESV	15524
New York-based Bristol-Myers	35555
Food Bazaar	12066
promising potential	136652
lackluster stock indexes	141652
Hilti family	131945
Women s Club	70885
apparent effort	79305
Mauser	60376
follow-on investors	89293
sparks	144510
trillion dollars	94195
Portuguese issuers	124229
Thomson view	103037
St. James Theatre	41259
15.8 billion New Taiwan dollars	113622
farmland values	153867
wind power generators	156096
longest commercial flights	130108
Mischief	19563
Those Eyes	48827
Old Testament	33907
Dogs of the World	43028
two days.	133420
Tropicana orange	40559
West Loop	25074
500 billion yen	91204
Bird sound	166017
The Edition	41174
highest ratings	115068
highest net income	101781
Matsutake Sushi	42746
Dark Void	3857
Paul Cashin	76736
EUR4.5	45515
Hang Seng Composite Index	59361
Solusi Tunas Pratama	66167
Axe Instinct Deodorant Bodyspray	34988
refugee status	146893
Damian	28933
Sensenbrenner	61700
Joe Shishido	36784
Coward	59962
significant customer base	114020
potential best picture contender	111694
Tiny Zoo Friends	62825
20.5 billion	78575
" rapid growth	102381
physical resilience	93381
552 million fund	160602
Moonstone	75086
five-year timetable	88443
Pippin	62005
monthly derivative contracts	82011
Devtek Inc.	65510
All Natural Products	40034
AEW Europe	21085
Pacific Northwest	7341
Browning Buzzer	57478
MySQL move	83368
software development	112854
Moskovitz	52323
how buyers	86392
Driskill Hotel ( 604 Brazos St.	29094
comptroller	82866
consolidated MLR	88409
modest 10 % increase	99039
Dream Girl Espresso	64335
affected employees	82711
Partnership That Drove the Allied Conquest	40287
campaign leadership	149282
family sedan	118830
last round	84069
57.2	96879
Apple Computer	9951
57.0	104157
Indian financial services business	92706
Gethsemane	69045
Best Mid-Sized City	64216
art online	155461
Wegelin	54471
HUB	21325
1.61 billion shares	81770
One New York Plaza	157947
zero real growth	147472
Matrix	9974
lawRapidShare	43075
Aba	37341
longstanding policy	133254
three provinces	90019
KenKen	74347
snaps	164216
crude palm oil	148184
3,000-room casino	96121
federal student loan program	150182
Israeli- American	16651
sharply higher operating expenses	106299
Natural Approach to Diet	53087
president Sunday	121810
recent Venezuelan history.	112900
Hard Day 's Night	27288
Boxun	77221
Caixin	40960
early December 2012	135152
significantly more electrical power	132927
dioxin exposure	118361
Chinese currency	87670
Toad	51044
FIL Fund Management Private Ltd.	43166
473,000 metric tons	156092
saxophone improvisation	110150
5.2 million	110881
Satmar Jewish	54198
scenarios	111810
Faiz Imam	66769
pension plan	92239
diesel-powered Tivoli model	154418
Master Sommelier	21635
conscientious objectors	143122
Corrections & Amplifications Lyle Rexer	44633
net exports	139066
Bras	19158
long table	116607
International Strategy	24740
Brat	57291
Leather	13731
Totalitarian	71274
many F-150s	141231
curriculum	93154
Shikha Jain	62572
Titanium Resources	443
YouTube channel	110248
Square	54119
41 cents	82621
Monopolizing the Master	40624
505.43 million	163615
PineBridge Investments	15452
financing package	120583
narrower loss	100612
U.S. military spending delays	143497
Margin Call	129369
St. Antony 's College	51733
Benelli	18417
5.23 billion reais loss	123168
UBS Deutschland	51385
Actavis	48957
Karuma	62833
X-12	47784
Astronaut Diaper and Other Tales of Modern Love	19364
growth priorities	155925
two Berlin shopping centers	159967
Seven Man-Made Wonders of the World	51792
Joseph DiMaria	58122
most Chinese travelers	153449
Consumer Credit	18064
Ahmad Ramadan	63501
3.4 billion Brazilian reais	136257
Children	71882
smaller Asian countries	90627
Tesla Model S	59681
Buttercream frosting	125526
second largest daily	125153
DuGan	88744
Lamma	46410
loading mechanism	120676
aggressive offensive	128686
state form	138211
MSCI Frontier	76507
Fabrega	61545
3D television sets	87531
richness	122595
Helicidae	40505
Strategic Growth fund	164619
Suriname	5291
Dutch	741
commercial vehicles	86582
Pole - Dancing Class	12272
also asthma diabetes tuberculosis gastrointestinal infections	125196
Ektachrome	63174
foreign-exchange rates	87509
SEC West	60360
metal hoses	121894
5.8 % slide	136851
